Pub,Area,Location,Atmos,Drinks,Value,Facilities,Total,combined,latitude,longitude,
The Landor,Clapham,3,4,4,2,4,17,The Landor Clapham,51.4656863,-0.1260694,
Belle Vue,Clapham,4,3,4,2,4,17,Belle Vue Clapham,51.46243906558258,-0.13769366090037538,"51.46243906558258, -0.13769366090037538"
The Stonhouse,Clapham,4,3,3,3,4,17,The Stonhouse Clapham,51.4639583,-0.1369942,
The Blind Beggar,Whitechapel,3,3,5,2,4,17,The Blind Beggar Whitechapel,51.5200131,-0.0568989,
Tattershall Castle,Whitehall,5,3,2,3,4,17,Tattershall Castle Whitehall,51.5044504,-0.122570155,
Canton Arms,Stockwell,3,3,4,3,4,17,Canton Arms Stockwell,51.4771509,-0.123007,
Trinity Arms,Brixton,3,4,3,3,4,17,Trinity Arms Brixton,51.4617733,-0.1192909,
Phoenix,Victoria,3,4,3,3,4,17,Phoenix Victoria,51.49868965,-0.1420810506,
The Chesham Arms,Hackney,2,5,3,3,4,17,The Chesham Arms Hackney,51.5476074,-0.0501159,
Rose & Crown,Tooting,3,4,3,3,4,17,Rose & Crown Tooting,51.43403367917509,-0.15453385887333698,"51.43403367917509, -0.15453385887333698"
Bucks Head,Camden,4,4,3,3,3,17,Bucks Head Camden,51.2739023,0.225032,
The Twelve Pins,Finsbury Park,3,3,5,3,3,17,The Twelve Pins Finsbury Park,51.56479604,-0.1048136069,
The Old Star,Westminster,4,3,3,4,3,17,The Old Star Westminster,51.50013985946266,-0.13363765446970474,"51.500139859462664, -0.13363765446970474"
The Shacklewell Arms,Dalston,2,5,4,3,3,17,The Shacklewell Arms Dalston,51.5524017,-0.071371,
The Goat,Clapham Junction,4,4,3,3,3,17,The Goat Clapham Junction,51.46250998171315,-0.16682712394973112,"51.462509981713154, -0.16682712394973112"
Bedford Arms,Fulham,2,3,5,4,3,17,Bedford Arms Fulham,51.6739982,-0.5284241,
Fox on the Green,Angel,4,3,4,3,3,17,Fox on the Green Angel,51.53673778,-0.1031722484,
The Riverside,Vauxhall,5,3,3,3,3,17,The Riverside Vauxhall,51.48633786469171,-0.12672909359457887,"51.48633786469171, -0.12672909359457887"
The Argyll Arms,Oxford Circus,5,3,3,3,3,17,The Argyll Arms Oxford Circus,51.5150755,-0.141329,
Malborough Arms,Fitzrovia,4,4,4,2,3,17,Malborough Arms Fitzrovia,51.5218954,-0.133703,
Montagu Pyke,Soho,3,4,4,4,2,17,Montagu Pyke Soho,51.5140454,-0.129887,
The Market Porter,Borough,4,4,4,3,2,17,The Market Porter Borough,51.5053513,-0.0913011,
The French House,Soho,5,4,3,3,2,17,The French House Soho,51.5127471,-0.1317318,
The Alpaca,Angel,3,4,2,4,4,17,The Alpaca Angel,51.53880146878855,-0.09901819981435812,"51.538801468788556, -0.09901819981435812"
The Old Blue Last,Shoreditch,3,4,4,3,3,17,The Old Blue Last Shoreditch,51.5244124,-0.080125,
Brewhouse,Highbury,3,3,3,4,4,17,Brewhouse Highbury,51.54651125297479,-0.10169531759896741,"51.546511252974796, -0.10169531759896741"
The Auld Shillelagh,Stoke Newington,2,4,3,4,4,17,The Auld Shillelagh Stoke Newington,51.5620538,-0.0794564,
The Southampton Arms,Gospel Oak,3,3,3,5,3,17,The Southampton Arms Gospel Oak,51.5560675,-0.1461834,
One Over The Ait,Brentford,3,2,4,2,5,16,One Over The Ait Brentford,51.4879224,-0.2883898,
Ship & Shovell,Whitehall,4,3,2,3,4,16,Ship & Shovell Whitehall,51.5076132,-0.1247324,
The Porterhouse,Covent Garden,3,4,2,3,4,16,The Porterhouse Covent Garden,51.51206482,-0.12344351909499349,"51.5120648155466, -0.12344351909499349"
The Dog House,Kennington,3,4,3,2,4,16,The Dog House Kennington,51.48937049,-0.11068778774473594,"51.4893704942069, -0.11068778774473594"
The Star of Kings,King's Cross,3,4,2,3,4,16,The Star of Kings King's Cross,51.5363747,-0.1219688,
The Royal Standard,Wandsworth,3,3,4,2,4,16,The Royal Standard Wandsworth,51.46152984614136,-0.18689621786367247,"51.46152984614136, -0.18689621786367247"
The Angelic,Angel,4,2,3,3,4,16,The Angelic Angel,51.53494743848507,-0.10734736811623073,"51.53494743848507, -0.10734736811623073"
The Scolt Head,Dalston,2,4,3,3,4,16,The Scolt Head Dalston,51.5433408,-0.0816201,
The King & Co,Brixton,2,4,4,3,3,16,The King & Co Brixton,51.4594857,-0.1341563,
The Admiralty,Whitehall,4,4,3,2,3,16,The Admiralty Whitehall,51.50758775440221,-0.12889154007727105,"51.507587754402216, -0.12889154007727105"
The Richmal Crompton,Bromley,3,4,3,3,3,16,The Richmal Crompton Bromley,51.399791,0.0166824,
The Jolly Gardeners,Vauxhall,2,4,3,4,3,16,The Jolly Gardeners Vauxhall,51.4468727,-0.189551,
Camden Head,Camden,3,3,4,3,3,16,Camden Head Camden,51.53730648,-0.140936894,
The World's End,Finsbury Park,3,3,4,3,3,16,The World's End Finsbury Park,51.56743744884807,-0.1082574973411825,"51.567437448848075, -0.1082574973411825"
The Astronomer,Liverpool Street,3,3,4,3,3,16,The Astronomer Liverpool Street,51.51819670560096,-0.0788596456207585,"51.51819670560096, -0.0788596456207585"
Ye Olde Mitre,Holborn,3,3,4,3,3,16,Ye Olde Mitre Holborn,51.5184368,-0.1073928,
The Perky Nel,Clapham,3,3,4,3,3,16,The Perky Nel Clapham,51.4537142,-0.1464228,
The Grafton Arms,Fitzrovia,3,3,3,4,3,16,The Grafton Arms Fitzrovia,51.5232472,-0.1386611,
The George & Vulture,Shoreditch,2,3,5,3,3,16,The George & Vulture Shoreditch,51.5291724,-0.0837297,
The Marquis of Granbry,Westminster,3,3,4,3,3,16,The Marquis of Granbry Westminster,51.49535871804946,-0.12708922994708496,"51.49535871804946, -0.12708922994708496"
Ninth Life,Catford,3,3,3,4,3,16,Ninth Life Catford,51.44755380652896,-0.01872519105873049,"51.447553806528965, -0.01872519105873049"
The Hen & Chickens,Highbury,4,3,3,3,3,16,The Hen & Chickens Highbury,51.54604063,-0.1019998298,
The Exmouth Arms,Clerkenwell,3,5,2,3,3,16,The Exmouth Arms Clerkenwell,51.52574913,-0.109674361,
The Railway,Clapham,4,3,4,3,2,16,The Railway Clapham,51.46476736554698,-0.13123651222097266,"51.46476736554698, -0.13123651222097266"
The Observatory,Greenwich,4,3,4,3,2,16,The Observatory Greenwich,51.50435904,0.00360831524,
Walkers of Whitehall,Whitehall,4,4,4,2,2,16,Walkers of Whitehall Whitehall,51.5067778,-0.126887,
Mayfair Tavern,Tooting,3,4,4,3,2,16,Mayfair Tavern Tooting,51.43236767,-0.1636610784,
The Coach & Horses,Soho,5,4,3,2,2,16,The Coach & Horses Soho,51.5132483,-0.1301679,
The Prince of Wales,Kennington,3,4,3,3,3,16,The Prince of Wales Kennington,51.48820678,-0.1090793261,
The Three Johns,Angel,4,4,2,2,3,15,The Three Johns Angel,51.53297927453515,-0.10907039662405468,"51.53297927453515, -0.10907039662405468"
The Prince,Fulham,3,4,2,2,4,15,The Prince Fulham,51.48845390932715,-0.19686270232560812,"51.48845390932715, -0.19686270232560812"
The Tim Bobbin,Clapham,3,3,3,2,4,15,The Tim Bobbin Clapham,51.46633831,-0.1428777373,
The Windmill,Clapham,4,2,3,2,4,15,The Windmill Clapham,51.4579278,-0.1441602180257531,"51.4579277993503, -0.1441602180257531"
The Saxon,Clapham,4,2,3,2,4,15,The Saxon Clapham,51.46422148466136,-0.13275691188813282,"51.46422148466136, -0.13275691188813282"
Bread & Roses,Clapham,3,2,4,2,4,15,Bread & Roses Clapham,51.46627213541593,-0.13633599153384215,"51.46627213541593, -0.13633599153384215"
Catford Bridge Tavern,Catford,3,2,3,3,4,15,Catford Bridge Tavern Catford,51.444615,-0.0245057,
The Coach Makers Arms,Marylebone,3,4,2,2,4,15,The Coach Makers Arms Marylebone,51.5171805,-0.1506242,
The George & Monkey,Angel,3,2,3,3,4,15,The George & Monkey Angel,51.5299178,-0.1102592,
Barley Mow,Westminster,3,4,3,2,3,15,Barley Mow Westminster,51.49500556,-0.1317804613,
The Albert,Westminster,3,3,4,2,3,15,The Albert Westminster,51.49784148719841,-0.1355005387554663,"51.497841487198414, -0.1355005387554663"
Nolan's,Nine Elms,2,3,3,4,3,15,Nolan's Nine Elms,51.47981905246765,-0.12606248355665886,"51.479819052467654, -0.12606248355665886"
Waterloo Tap,Waterloo,4,2,3,3,3,15,Waterloo Tap Waterloo,51.5045521,-0.1150203,
Bucks Head,Camden,4,3,2,3,3,15,Bucks Head Camden,51.2739023,0.225032,
The Camel and Artichoke,Waterloo,3,2,4,3,3,15,The Camel and Artichoke Waterloo,51.5007422,-0.1132459,
Colonies,Westminster,3,4,3,2,3,15,Colonies Westminster,51.49894263246939,-0.1396704506848685,"51.498942632469394, -0.1396704506848685"
The Duke of Sussex,Waterloo,4,3,3,2,3,15,The Duke of Sussex Waterloo,51.50207867111253,-0.10973575942812637,"51.50207867111253, -0.10973575942812637"
Crate Brewery,Hackney Wick,3,3,3,3,3,15,Crate Brewery Hackney Wick,51.5429659,-0.0221165,
The Cow,Stratford,4,2,4,2,3,15,The Cow Stratford,51.54548388257562,0.008214454994249873,"51.545483882575624, -0.008214454994249873"
The Gregorian,Bermondsey,3,3,3,3,3,15,The Gregorian Bermondsey,51.49795519919765,-0.06649054590092249,"51.497955199197655, -0.06649054590092249"
The Clerkenwell Tavern,Clerkenwell,3,4,2,3,3,15,The Clerkenwell Tavern Clerkenwell,51.5250475,-0.1103013,
Brewmaster,Leicester Square,4,3,3,3,2,15,Brewmaster Leicester Square,51.5114757,-0.12812244609258883,"51.5114757021774, -0.12812244609258883"
White Hart,Covent Garden,3,3,5,2,2,15,White Hart Covent Garden,51.41374528877173,-0.30027814556862303,"51.41374528877173, -0.30027814556862303"
The Kings Tun,Kingston,3,2,4,4,2,15,The Kings Tun Kingston,51.411487,-0.3005416,
The Feathers,Westminster,4,3,3,3,2,15,The Feathers Westminster,51.49942247255977,-0.13309103672669004,"51.49942247255977, -0.13309103672669004"
The Railway Tavern,Dalston,2,4,4,3,2,15,The Railway Tavern Dalston,51.54876416,-0.07930857737,
The Speaker,Westminster,3,4,4,2,2,15,The Speaker Westminster,51.49700810922206,-0.1323035692530568,"51.497008109222065, -0.1323035692530568"
The King's Head,Mayfair,4,3,2,4,2,15,The King's Head Mayfair,51.5086516,-0.1412775231,
The Beehive,Brixton,3,2,4,5,1,15,The Beehive Brixton,51.46424911827672,-0.11417903330507213,"51.46424911827672, -0.11417903330507213"
The Alwyne Castle,Highbury,3,3,3,2,4,15,The Alwyne Castle Highbury,51.5465734,-0.0985023,
The Ten Bells,Spitalfields,3,4,3,2,3,15,The Ten Bells Spitalfields,51.51936435,-0.07429318617,
Vineyard,Islington,3,2,4,2,4,15,Vineyard Islington,51.54237591244404,-0.1036217596861289,"51.54237591244404, -0.1036217596861289"
The Old Bull and Bush,Hampstead,2,3,3,3,4,15,The Old Bull and Bush Hampstead,51.56867465720703,-0.18159588449436212,"51.56867465720703, -0.18159588449436212"
Bank of Friendship,Highbury,2,3,2,3,4,14,Bank of Friendship Highbury,51.558357,-0.0986983,
Priory Arms,Stockwell,2,3,3,3,3,14,Priory Arms Stockwell,51.4748511,-0.12834,
The Thirsty Bear,Waterloo,3,3,3,2,3,14,The Thirsty Bear Waterloo,51.5071142,-0.1081282,
The Mason's Arms,Battersea,3,3,3,2,3,14,The Mason's Arms Battersea,51.47682323,-0.1468925149,
Porter and Sorter,Croydon,3,2,4,2,3,14,Porter and Sorter Croydon,51.3759845,-0.0918666,
The Barrel Vault,King's Cross,4,2,3,2,3,14,The Barrel Vault King's Cross,51.5325134,-0.1262881,
The Crown,Angel,3,3,2,3,3,14,The Crown Angel,51.53755898340356,-0.10948746384031328,"51.537558983403564, -0.10948746384031328"
The Regent,Angel,3,2,2,4,3,14,The Regent Angel,51.53908953863853,-0.10698378985937523,"51.53908953863853, -0.10698378985937523"
The Beer House,Victoria,4,2,3,2,3,14,The Beer House Victoria,51.49552609,-0.1432911184,
The Fitzrovia Bell,Fitzrovia,3,2,3,3,3,14,The Fitzrovia Bell Fitzrovia,51.5225338,-0.1358954,
Two Chairmen,Westminster,3,3,3,3,2,14,Two Chairmen Westminster,51.5006512,-0.1316457,
Silver Cross,Whitehall,4,2,3,3,2,14,Silver Cross Whitehall,51.50667241119297,-0.12702022006106425,"51.50667241119297, -0.12702022006106425"
Old Town Tavern,Clapham,3,3,4,2,2,14,Old Town Tavern Clapham,51.46612141,-0.1421673202,
Grafton Arms,Westminster,3,3,4,2,2,14,Grafton Arms Westminster,51.49747612,-0.1340325474,
Adam and Eve,Westminster,3,3,4,2,2,14,Adam and Eve Westminster,51.49960233901139,-0.13569539097081595,"51.499602339011396, -0.13569539097081595"
The Royal Oak,Westminster,3,3,3,3,2,14,The Royal Oak Westminster,51.49430264611273, -0.132521012681945,"51.49430264611273, -0.132521012681945"
Bayswater Arms,Bayswater,3,3,4,2,2,14,Bayswater Arms Bayswater,51.5127199,-0.1877793,
The Greencoat Boy,Westminster,3,3,3,3,2,14,The Greencoat Boy Westminster,51.4963188,-0.1358602,
The Fellow,King's Cross,4,3,3,2,2,14,The Fellow King's Cross,51.53214204173835,-0.12203654947838591,"51.532142041738354, -0.12203654947838591"
The Roundhouse,Covent Garden,3,3,3,3,2,14,The Roundhouse Covent Garden,51.51126538,-0.1255310526,
Fire Station,Waterloo,4,3,3,2,2,14,Fire Station Waterloo,51.50246003794231,-0.11048920808798353,"51.50246003794231, -0.11048920808798353"
The Phoenix,Stockwell,2,2,4,4,2,14,The Phoenix Stockwell,51.46954155794646,-0.12731722843145965,"51.46954155794646, -0.12731722843145965"
Shakespeare,Victoria,4,2,4,2,2,14,Shakespeare Victoria,51.49641824389150,-0.14482580553304525,"51.496418243891505, -0.14482580553304525"
The Sanctuary,Westminster,4,3,3,2,2,14,The Sanctuary Westminster,51.50007062237397,-0.1316359296594903,"51.50007062237397, -0.1316359296594903"
The Northumberland Arms,Fitzrovia,4,2,2,4,2,14,The Northumberland Arms Fitzrovia,51.52353994,-0.1374015359,
Coach and Horses,Soho,3,4,4,2,1,14,Coach and Horses Soho,51.51397239689098,-0.12964434327977628,"51.513972396890985, -0.12964434327977628"
The Griffin,Shoreditch,3,4,2,3,2,14,The Griffin Shoreditch,51.52496808710847,-0.08198341096167117,"51.524968087108476, -0.08198341096167117"
The Culpeper,Spitalfields,3,3,2,2,4,14,The Culpeper Spitalfields,51.51692806,-0.07303039474,
The Morpeth Arms,Westminster,3,3,2,2,3,13,The Morpeth Arms Westminster,51.4894082,-0.1287178,
The Grosvenor Arms,Brixton,2,4,3,2,2,13,The Grosvenor Arms Brixton,51.46992439,-0.1172734415,
Duke of York,Victoria,3,3,2,3,2,13,Duke of York Victoria,51.49685489979107,-0.14283499248828635,"51.496854899791074, -0.14283499248828635"
The Kings Head,Bayswater,3,2,3,3,2,13,The Kings Head Bayswater,51.50929024454269,-0.14142770589036305,"51.50929024454269, -0.14142770589036305"
The Hanover Arms,Oval,4,2,4,1,2,13,The Hanover Arms Oval,51.4814475,-0.1131384,
The Camden Eye,Camden,4,4,2,2,1,13,The Camden Eye Camden,51.5394953,-0.1422158,
The Tommyfield,Kennington,3,2,3,3,2,13,The Tommyfield Kennington,51.4886535,-0.1108664,
Rose & Crown,Southwark,2,2,2,3,3,12,Rose & Crown Southwark,51.50582731285131,-0.10588523312728186,"51.50582731285131, -0.10588523312728186"
The Red Lion,Whitehall,4,3,1,2,2,12,The Red Lion Whitehall,51.50253061458053,-0.12584731453159642,"51.502530614580536, -0.12584731453159642"
Prince Alfred,Bayswater,3,2,3,2,2,12,Prince Alfred Bayswater,51.51374874245875,-0.1876295565529022,"51.51374874245875, -0.1876295565529022"
Rose & Crown,Clapham,4,1,3,2,2,12,Rose & Crown Clapham,51.46371457076516,-0.14131944962301923,"51.46371457076516, -0.14131944962301923"
Clapham North,Clapham,4,1,3,2,2,12,Clapham North Clapham,51.4653972,-0.1290355,
Crown & Sceptre,Kensington,4,1,4,1,2,12,Crown & Sceptre Kensington,51.49796401458351,-0.20746366660023097,"51.497964014583516, -0.20746366660023097"
All My Friends,Hackney Wick,3,2,2,3,2,12,All My Friends Hackney Wick,51.54258619168635,-0.02184802841528001,"51.542586191686354, -0.02184802841528001"
The Islington Town House,Angel,4,1,2,2,2,11,The Islington Town House Angel,51.5337287,-0.1071819,
The Gypsy Moth,Greenwich,4,,,,4,,The Gypsy Moth Greenwich,51.48228981825642,0.009782631170301192,"51.482289818256426, -0.009782631170301192"
The Gallery,Pimlico,3,2,4,,4,,The Gallery Pimlico,51.48878381884304,-0.13429503064924947,"51.488783818843046, -0.13429503064924947"
Coach and Horses,Brixton,2,4,,,3,,Coach and Horses Brixton,51.45975214,-0.13138890452086455,"51.4597521373541, -0.13138890452086455"
Marquis of Westminster,Westminster,2,3,,,3,,Marquis of Westminster Westminster,51.4918294,-0.1408543,
The Trafalgar Arms,Tooting,3,3,4,,3,,The Trafalgar Arms Tooting,51.4246916,-0.1714295,
The Fox,Custom House,3,3,,,3,,The Fox Custom House,51.50882313255238,0.02543043065750885,"51.50882313255238, 0.02543043065750885"
White Horse & Bower,Westminster,3,3,,,3,,White Horse & Bower Westminster,51.4949982,-0.1308941,
The Wellington,Waterloo,4,2,4,,3,,The Wellington Waterloo,51.50376671724928,-0.11138605497685168,"51.503766717249285, -0.11138605497685168"
The Park Tavern,Finsbury Park,2,2,4,,3,,The Park Tavern Finsbury Park,51.56811809,-0.111223053,
The Scarsdale Tavern,Kensington,3,2,,,3,,The Scarsdale Tavern Kensington,51.496975,-0.1990243,
The Engineer,Camden,2,,,2,3,,The Engineer Camden,51.54006227816593,-0.1507852412716492,"51.54006227816593, -0.1507852412716492"
Spice of Life,Soho,4,,,,3,,Spice of Life Soho,51.51343182,-0.12978430464985252,"51.5134318194886, -0.12978430464985252"
One Tun,Fitzrovia,3,2,4,,3,,One Tun Fitzrovia,51.519124,-0.1367021,
White Hart,Barnes,,,,,3,,White Hart Barnes,51.47104793612695,-0.25566645715924785,"51.47104793612695, -0.25566645715924785"
The Foxglove,Angel,3,3,,,3,,The Foxglove Angel,51.5392357,-0.1068558611,
Knowles of Norwood,Norwood,1,3,,,3,,Knowles of Norwood Norwood,51.4358687,-0.1044546,
Westminster Arms,Westminster,3,4,,,2,,Westminster Arms Westminster,51.50059565,-0.1297889113,
The Lemon Tree,Covent Garden,3,3,,,2,,The Lemon Tree Covent Garden,51.51001651125435,-0.12567489944877028,"51.51001651125435, -0.12567489944877028"
The Greyhound,Kensington,3,1,2,,2,,The Greyhound Kensington,51.50108414473023,-0.1894406891672592,"51.501084144730235, -0.1894406891672592"
The Builders Arms,Kensington,3,3,2,,2,,The Builders Arms Kensington,51.4994438,-0.188314,
Tamesis Dock,Vauxhall,5,4,,,2,,Tamesis Dock Vauxhall,51.4919958,-0.1221481,
The White Lion,Covent Garden,4,4,,,1,,The White Lion Covent Garden,51.51280907,-0.12387118963081874,"51.5128090706894, -0.12387118963081874"
The Cavendish Arms,Stockwell,2,2,,,,,The Cavendish Arms Stockwell,51.4765332,-0.1276872,
The Phene,Chelsea,2,2,,,,,The Phene Chelsea,51.485174,-0.167575,
The Mayflower,Rotherhithe,4,,,,,,The Mayflower Rotherhie,51.50174037975413,-0.053563877501585914,"51.50174037975413, -0.053563877501585914"
The Bill Murray,Islington,2,,,,,,The Bill Murray Islington,51.536292,-0.0988111,
The Castle,Angel,,,,,,,The Castle Angel,51.53196502330854,-0.10901710848473502,"51.531965023308544, -0.10901710848473502"
The Spaniards Inn,Hampstead,2,4,4,,5,,The Spaniards Inn Hampstead,51.569884,-0.1740278,
The Flask,Hampstead,4,3,2,,4,,The Flask Hampstead,51.55659280628472,-0.17733463258760535,"51.556592806284726, -0.17733463258760535"
